id,categoria,nombre,descripcion,precio,esVegano,sinTacc
39,Postres & Tortas,ROGEL,Torta,7200,TRUE,true 
40,Postres & Tortas,GOLOSA,Base brownie ddl y crema,7700,TRUE,true 
41,Postres & Tortas,BALCARCE,Bizcocho de vainilla merengue ddl crema nueces y coco,7700,TRUE,true 
42,Postres & Tortas,DEGUSTACION DE TORTAS,Tres tortas o tartas a elección,19500,TRUE,true 
43,Postres & Tortas,FLAN DE ANA CON DDL,,7000,TRUE,true 
44,Postres & Tortas,VOLCAN DE CHOCOLATE,Con helado de crema & salsa de frutos rojos,9000,TRUE,true 
45,Postres & Tortas,VOLCAN DE DULCE DE LECHE,Con salsa inglesa & helado,9000,TRUE,true 
46,Postres & Tortas,BROWNIE DE CHOCOLATE,Con helado crema salsa de frutos rojos,9000,TRUE,true 
47,Postres & Tortas,ENSALADA DE FRUTAS,,7000,TRUE,true 
48,Postres & Tortas,COPA DE HELADO,Americana una bocha,3100,TRUE,true 
49,Postres & Tortas,BUDIN DE PAN COCO CON CREMA,,7200,TRUE,true 
50,Postres & Tortas,CRUMBLE TIBIO DE MANZANA,Con curd de limon o helado de crema,8500,TRUE,true 
51,Postres & Tortas,POSTRE DEL DIA,,7500,TRUE,true 
52,Platitos & Picadas,EMPANADAS FRITAS,De carne cortada a cuchillo,3000,TRUE,true 
53,Platitos & Picadas,TABLA DE FIAMBRES Y QUESOS CHICA,,21000,TRUE,true 
54,Platitos & Picadas,TABLA DE FIAMBRES Y QUESOS GRANDE,,38500,TRUE,true 
55,Platitos & Picadas,PICOTEO,Quesos miel y frutos secos,19500,TRUE,true 
56,Platitos & Picadas,PAPAS RUSTICAS,Con alioli,8200,TRUE,true 
57,Platitos & Picadas,BERENJENAS FRITAS,Con miel y queso,8200,TRUE,true 
58,Platitos & Picadas,MONTADITO STRIACCIATELLA,Con mortadela,7700,TRUE,true 
59,Platitos & Picadas,MONTADITO PALTA,Con tomates frescos,7700,TRUE,true 
60,Platitos & Picadas,QUESITO BRIE,Oliva nueces picadas frutas de estación miel en panal,8800,TRUE,true 
61,Platitos & Picadas,LANGOSTINOS,Rebozados acompañados de salsa cítrica,16000,TRUE,true 
62,Platitos & Picadas,QUESOS & FRUTAS,De estación,19000,TRUE,true 
63,Platitos & Picadas,CAMEMBERT GRATINADO,Miel rúcula frutas de estación,14000,TRUE,true 
64,Platitos & Picadas,DURAZNOS GRATINADOS,Tomates confitados & striaccatella,14000,TRUE,true 
65,Platitos & Picadas,BURRATINA,Tomates asados tomates secos & jamón parma,21000,TRUE,true 
66,Tostones,ALCANFOR,Queso brie tomates confitados jamón crudo y rúcula,17000,TRUE,true 
67,Tostones,GARDENIAS,Crema de palta trucha ahumada rúcula y tomates Cherry,22500,TRUE,true 
68,Tostones,LAVANDA,Vegetales grillados queso azul y garrapiñada,14300,TRUE,true 
69,Tostones,CROQUE MADAMME,Super tostado de jamón y queso salsa blanca gratín de parmesano y huevo,14300,TRUE,true 
70,Tostones,CIRUELO,Pollo crema de palta zucchinis grillados y portobello,15000,TRUE,true 
71,Tostones,DEGUSTACION DE TOSTONES,Cuatro mini tostones con papas: alcanfor - lavanda - gardenias - ciruelo (2 personas),39000,TRUE,true 
72,Ensaladas,ZORZAL,Tibio de arroz integral vegetales grillados garrapiñada y queso parmesano o tofu,13500,TRUE,true 
73,Ensaladas,CALANDRIA,Pollo verdes queso croutones y aderezo césar,15200,TRUE,true 
74,Ensaladas,PICAFLOR CON TRUCHA O LANGOSTINOS,Palta cherry fruta de estación queso azul mix de verdes y rúcula,21000,TRUE,true 
75,Ensaladas,PICAFLOR CON TOFU,Palta cherry fruta de estación queso azul mix de verdes y rúcula,16000,TRUE,true 
76,Ensaladas,GARZA,Colchón de rúcula burratina tomates secos frescos y caramelizados jamón crudo y aceite de albahaca,21000,TRUE,true 
77,Ensaladas,GAVIOTA,Hummus de zanahoria tomates vegetales grillados olivas y brotes,15000,TRUE,true 
78,Carnes,OMELETTE DE LANGOSTINOS,Y sardo con guarnición de verdes,19000,TRUE,true 
79,Carnes,BONDIOLA LAQUEADA,Sobre puré de batatas y batatas crispy,21500,TRUE,true 
80,Carnes,MILANESA DE SUPREMA,Con cordones cacio e pepe,17600,TRUE,true 
81,Carnes,POLLO GRILLADO,Con crema de verdeo y guarnición,16500,TRUE,true 
82,Carnes,OJO DE BIFE GRILLADO,En reducción de malbec y guarnición,27000,TRUE,true 
83,Carnes,LOMO DE TRUCHA GRILLADA,Trucha patagonica con papas rústicas con crema,25500,TRUE,true 
84,Carnes,PESCA DEL DIA,Gratinada con queso y crema con guarnición a elección,20000,TRUE,true 
85,Bebidas,GASEOSAS,Línea coca cola,3200,FALSE,true 
86,Bebidas,AGUA AQA,Con gas - sin gas,2500,FALSE,true 
87,Bebidas,AQUARIUS,Pera - manzana – pomelo,2800,FALSE,true 
88,Bebidas,LIMONADA,Con menta y jengibre,4500,FALSE,true 
89,Bebidas,POMELADA,,4500,FALSE,true 
90,Bebidas,LICUADO,Multifruta o hasta dos frutas con agua leche o jugo,5000,FALSE,true 
91,Bebidas,FROZZEN,De naranja & maracuya,5000,FALSE,true 
92,Bebidas,EXPRIMIDO DE NARANJA,,4500,FALSE,true 
93,Bebidas,MOCKTAIL UNO,Durazno frutilla naranja menta y jengibre,5500,FALSE,true 
94,Bebidas,MOCKTAIL DOS,Lima hibiscus frutos rojos pomelo & soda,5500,FALSE,true 
95,Bebidas,CAFE ESPRESSO,Chico cortado o con crema,3100,FALSE,true 
96,Bebidas,CAFE LATTE,,4600,FALSE,true 
97,Bebidas,SUBMARINO,Chocolate y canela,5000,FALSE,true 
98,Bebidas,ICED COFFEE,,5000,FALSE,true 
99,Bebidas,ICED TEA,Té negro o té rojo CuraTé Alma jugo de lima jengibre miel,5000,FALSE,true 
100,Bebidas,TE NEGRO EN HEBRAS,,3900,FALSE,true 
101,Tragos,MEDIA PINTA STELLA,,4000,FALSE,true 
102,Tragos,PORRON CORONA,,5200,FALSE,true 
103,Tragos,APEROL SPRITZ,Aperol espumante golpe de soda,8000,FALSE,true 
104,Tragos,CYNAR JULEP,Cynar menta y jugo de pomelo,8000,FALSE,true 
105,Tragos,MOJITO,Ron menta lima azúcar soda,8000,FALSE,true 
106,Tragos,CAMPARI ORANGE,Campari jugo de naranja,8000,FALSE,true 
107,Tragos,FERNET BRANCA,Con coca cola,8000,FALSE,true 
108,Tragos,GIN TONIC,,8000,FALSE,true 
109,Tragos,GIN TONIC BOMBAY SAPHIRE,,10000,FALSE,true 
110,Tragos,TINTO DE VERANO,Vino tinto vermut rosso macerado con ciruela y durazno dash jugo de naranja frutas de estación gaseosa lima limón,8000,FALSE,true 
111,Vinos,DEVELADO SOLO CONTIGO,CHARDONNAY/SAUVIGNON BLANC,15000,FALSE,true 
112,Vinos,KRONTIRAS MIKRON,TORRONTES,19000,FALSE,true 
113,Vinos,ALFA CRUX CRUX,SAUVIGNON BLANC,17000,FALSE,true 
114,Vinos,SALENTEIN,"CHARDONNAY, MALBEC, PINOT NOIR, SAUVIGNON BLANC",16500,FALSE,true 
115,Vinos,NUMINA,CHARDONNAY,22000,FALSE,true 
116,Vinos,SALENTEIN,MALBEC 375CC,9900,FALSE,true 
117,Vinos,QUINDE,NATURAL ORGANICO MALBEC,18000,FALSE,true 
118,Vinos,CAYETANA,MALBEC,27500,FALSE,true 
